Code,Name,港股市值
00370,国华,6亿
00371,北控水务集团,460亿
00372,德祥企业,9亿
00373,联合集团,60亿
00374,四洲集团,16亿
00375,YGMTRADING,23亿
00376,瑞东集团,18亿
00377,新洲印刷集团,13亿
00378,事安集团,12亿
00379,必美宜,24亿
00380,中国管业,6亿
00381,侨雄能源,7亿
00382,威灵控股,46亿
00383,中国网络资本,19亿
00384,中国燃气,634亿
00385,建联集团,4亿
00386,中国石油化工股份,1538亿
00387,力丰(集团),2亿
00388,香港交易所,2045亿
00389,通天酒业,6亿
00390,中国中铁,250亿
00391,美亚娱乐资讯,36亿
00392,北京控股,759亿
00393,旭日企业,18亿
00395,中国龙新能源,10亿
00396,兴利(香港)控股,3亿
00397,君阳太阳能,8亿
00398,东方表行集团,9亿
00399,联合基因集团,14亿
00401,万嘉集团,2亿
00402,蒙古投资,13亿
00403,星光集团,2亿
00404,新昌营造,37亿
00406,有利集团,7亿
00408,叶氏化工集团,25亿
00410,SOHO中国,286亿
00411,南顺(香港),14亿
00412,汉基控股,64亿
00413,南华中国,26亿
00417,谢瑞麟,6亿
00418,方正控股,5亿
00419,中国9号健康,45亿
00420,福田实业,10亿
00421,中国大冶优先股,-
00422,越南制造加工出口,4亿
00423,经济日报集团,6亿
00425,敏实集团,175亿
00426,万华媒体,2亿
00430,东方网库,4亿
00431,大中华实业,5亿
00432,盈大地产,14亿
00433,北方矿业,59亿
00434,博雅互动,42亿
00438,彩虹电子,4亿
00439,英发国际,183亿
00440,大新金融,151亿
00444,SINCEREWATCHHK,12亿
00445,中国消防,15亿
00449,志高控股,14亿
00450,鸿兴印刷集团,9亿
00451,森泰集团,165亿
00455,天大药业,6亿
00456,新城市建设发展,10亿
00458,联亚集团,7亿
00459,美联工商铺,5亿
00460,四环医药,541亿
00462,天然乳品,Error
00464,建福集团,3亿
00465,富通科技,4亿
00467,联合能源集团,146亿
00468,纷美包装,52亿
00469,凯普松国际,2亿
00471,中播控股,12亿
00472,金六福投资,10亿
00474,昊天能源集团,10亿
00475,中发展控股,6亿
00476,中铜资源,26亿
00477,奥普集团控股,15亿
00479,华建控股,1亿
00480,香港兴业国际,51亿
00482,圣马丁国际,3亿
00483,包浩斯国际,9亿
00484,云游控股,19亿
00485,STARLIGHTINTL,4亿
00486,RUSAL,773亿
00487,实德环球,13亿
00488,丽新发展,36亿
00489,东风集团股份,320亿
00491,汉传媒,7亿
00493,国美电器,191亿
00494,利丰,659亿
00495,PALADIN,2亿
00496,卡森国际,13亿
00497,资本策略地产,34亿
00498,保华集团,7亿
00499,华脉无线通信,12亿
00500,天地数码(控股),13亿
00503,朗生医药,12亿
00505,兴业铜业,4亿
00506,中国食品,76亿
00508,鼎亿集团投资,Error
00509,世纪阳光,20亿
00510,时富金融服务集团,11亿
00511,电视广播,189亿
00512,远大医药,29亿
00513,恒和集团,16亿
00515,达进东方照明,4亿
00516,瀚智集团,Error
00517,中远国际控股,48亿
00518,同得仕(集团),4亿
00519,实力建业,5亿
00521,首长科技,10亿
00522,ASMPACIFIC,303亿
00524,E-KONGGROUP,3亿
00525,广深铁路股份,50亿
00526,利时集团控股,17亿
00527,中国瑞风,15亿
00528,金达控股,7亿
00529,SISINTL,10亿
00530,高银金融,432亿
00531,顺诚,29亿
00532,WKKINTL(HOLD),4亿
00533,金利来集团,32亿
00535,金地商置,39亿
00536,贸易通,13亿
00538,味千(中国),65亿
00539,冠华国际控股,21亿
00540,迅捷环球控股,3亿
00542,新岭域集团,3亿
00543,太平洋网络,41亿
00544,大同集团,2亿
00546,阜丰集团,78亿
00547,奥亮集团,14亿
00548,深圳高速公路股份,40亿
00549,奇峰化纤,1亿
00550,先传媒,5亿
00551,裕元集团,448亿
00552,中国通信服务,87亿
00553,南京熊猫电子股份,15亿
00554,汉思能源,8亿
00555,御泰中彩控股,66亿
00556,泛亚环保,14亿
00557,CITYE-SOLUTION,4亿
00558,力劲科技,7亿
00559,国藏集团,Error
00560,珠江船务,18亿
00563,上实城市开发,66亿
00564,郑煤机,12亿
00565,锦艺纺织,7亿
00566,汉能太阳能,1090亿
00567,大昌微线集团,2亿
00568,山东墨龙,8亿
00569,中国自动化,12亿
00570,盈天医药,119亿
00571,丰德丽控股,9亿
00572,中国包装集团,25亿
00573,稻香控股,37亿
00575,励晶太平洋,3亿
00576,浙江沪杭甬,135亿
00577,路易十三集团,15亿
00578,融信资源,2亿
00579,京能清洁能源,79亿
00580,赛晶电力电子,10亿
00581,中国东方集团,Error
