Code,Name,总市值
WYNMF,永利澳门,Error
ZHEXY,沪杭甬高,Error
ZIJMY,紫金矿业,Error
ZTCOY,中兴通讯,Error
WUMSY,北京物美,Error
WWNTY,旺旺中国,Error
WYNMY,永利澳门,Error
MNOIY,文化东方,Error
NOBGY,来宝集团,Error
CLPXY,龙源电力,Error
CMAKY,民生银行,Error
CMNW,中国M161,Error
PNGAY,平安保险,Error
CNER,中国新能,Error
CPCAY,国泰航空,Error
CPDV,中房发展,Error
CPKPF,卜蜂国际,Error
CRHKY,华润,Error
CRHO,呈辉置业,Error
CRJI,润基水泥,Error
CRUI,瑞泰国际,Error
CHOLY,中海油服,Error
CHOLF,中海油服,Error
CRWOY,中国中铁,Error
CSDXY,中海发展,Error
CSEHY,源畅光电,Error
CSGH,大连新阳,Error
CSGJ,双吉水泥,Error
CSKD,兴天下,Error
CCGY,福建中德,Error
CSNH,曹普工艺,Error
CSOL,德利国际,Error
CSRGY,中国南车,Error
CSUAY,中国神华,Error
CSWG,森宇国际,Error
CSWYY,神威药业,Error
CTEK,新兴佳,2398万
CTHL,中拖,Error
CTPCY,中信泰富,Error
CTVZ,中国旅游,Error
CPKPY,卜蜂国际,Error
HUAZ,华野燃气,Error
CCOZY,中煤能源,Error
CCOZF,中煤能源,Error
CDBH,中国生物,Error
CDBT,甘肃大圣,Error
CDGXF,中国动向,Error
CDSG,东升伟业,Error
AIRYY,中国国航,Error
BACHF,中国银行,Error
BCAUF,华晨中国,Error
BKEAF,东亚银行,Error
CICHF,中国建设,Error
BYDDY,比亚迪,Error
DPNEY,达芙妮集,Error
DRCR,徳爱尔羊,Error
DUKS,太阳禽业,Error
DXIN,东信生物,Error
EAST,东方安防,Error
EESC,亿丰环境,Error
EKONY,e-KONG集,Error
ENHD,大连础明,Error
ESPGY,思捷环球,Error
FEPU,飞鹰塑胶,Error
FIRRY,第一拖拉,Error
FLMS,FLM矿业,Error
FPAFF,第一太平,Error
FXCNY,富士康控,Error
GGDVY,粤海投资,Error
GHII,金马国际,Error
GIGNF,云顶新加,Error
GIGNY,云顶新加,Error
GMDTF,金卫医疗,Error
GOEG,金象玻璃,Error
GPHG,环球医药,Error
GTVI,中威盛世,Error
GWLLY,长城汽车,Error
GXYEF,银河娱乐,Error
GXYEY,银河娱乐,Error
GZPHY,广州药业,Error
GZUHY,广州富力,Error
HDVTY,恒基兆业,Error
HEGIF,恒安国际,Error
HEGIY,恒安国际,Error
FPAFY,第一太平,Error
CVPH,维特奥健,Error
CWPWF,中国风电,Error
CWYCY,中国铁建,Error
CYDI,超英生物,Error
CYHM,海逸风传,Error
CYIG,永春堂,Error
DCRD,东莞饰纸,Error
DFEL,三俊电池,Error
DFIHY,牛奶国际,Error
DGDH,大东南,Error
DGWIY,多元环球,590万
DION,百花洲实,Error
DIPGY,大唐发电,Error
DKSP,东科药业,Error
DNFGF,东风汽车,Error
DNGH,东盛医药,Error
DPNEF,达芙妮集,Error
DNFGY,东风汽车,Error
LITB,兰亭集势,2亿
CCCR,鲈乡小贷,3089万
MONT,澜起科技,6亿
QUNR,去哪儿,30亿
WUBA,58同城,35亿
GOMO,久邦数码,1亿
WBAI,500彩票,6亿
ATHM,汽车之家,38亿
AMC,AMC院线,24亿
WB,微博,32亿
TEDU,达内科技,5亿
LEJU,乐居,14亿
KANG,爱康国宾,10亿
JD,京东,327亿
TOUR,途牛,6亿
CMCM,猎豹移动,21亿
GOAS,祥天控股,Error
JMEI,聚美优品,19亿
ZPIN,智联招聘,9亿
XNET,迅雷,5亿
BABA,阿里巴巴,2590亿
SKYS,天华阳光,2亿
EHIC,一嗨租车,5亿
MSFT,微软,3868亿
YHOO,雅虎,499亿
GOOG,谷歌,3508亿
EBAY,电子海湾,706亿
AMZN,亚马逊,1422亿
INTC,英特尔,1760亿
AAPL,苹果,6570亿
NOK,诺基亚,-
ERIC,爱立信,404亿
ADBE,Adobe,379亿
IBM,IBM,1537亿
TXN,德州仪器,564亿
CSCO,思科,1365亿
T,美国电话,1674亿
VOD,沃达丰,926亿
STX,希捷,209亿
ORCL,甲骨文,1800亿
QCOM,高通,1181亿
S,斯普林特,161亿
EMC,易安信,591亿
CTSH,高知特,307亿
VZ,威瑞森,1891亿
ATI,阿利根尼,33亿
N,NetSuite,79亿
ISSI,芯成半导,5亿
HPQ,惠普,711亿
AMD,AMD,19亿
SI,西门子,Error
NVDA,英伟达,106亿
SAP,SAP,637亿
ALU,阿尔卡特,97亿
OPEN,OpenTabl,24亿
PLCM,宝利通,17亿
AKAM,阿克迈,108亿
MSI,摩托罗拉,149亿
MMI,摩移动,11亿
LNKD,LinkedIn,270亿
YNDX,Yandex,61亿
GRPN,GroupOn,48亿
ZNGA,Zynga,22亿
FB,Facebook,1997亿
SNE,索尼,233亿
NTT,日本电报,207亿
MON,孟山都,570亿
ACN,埃森哲,513亿
ARX,艾法斯,8亿
NFLX,奈飞,201亿
JDSU,捷迪讯,32亿
VMW,威睿,330亿
TYL,泰勒科技,37亿
MXIM,美信集成,86亿
JNPR,瞻博网络,91亿
CTXS,思杰系统,96亿
ONNN,安森美,42亿
EQIX,易昆尼克,120亿
RHT,红帽,108亿
ALTR,艾特拉,112亿
TDS,电话数据,25亿
INFA,Informat,40亿
KLAC,科磊,112亿
YELP,Yelp,38亿
XLNX,赛灵思,119亿
CRM,赛富时,347亿
SCTY,太阳城,48亿
JBL,捷普,37亿
NTAP,美国网存,126亿
AWAY,Homeaway,28亿
SYMC,赛门铁克,174亿
ACLS,Axcelis,2亿
GLW,康宁,270亿
RVBD,河床科技,29亿
ACM,AECOM,45亿
TER,泰瑞达,41亿
TRIP,旅行顾问,103亿
NOW,现在服务,90亿
VRSN,威瑞信,69亿
DCM,NTT道康,80亿
MCHP,微芯科技,87亿
ADSK,欧特克,133亿
AZPN,艾斯本,29亿
ARRS,艾利斯,40亿
NUAN,微妙通讯,44亿
ACXM,阿克西鄂,15亿
ASCMA,ASCENT资,7亿
FFIV,F5网络,96亿
BRCD,博科,47亿
BRCM,博通,246亿
CERN,美国塞纳,209亿
EA,电子艺界,139亿
INTU,财捷,263亿
ATVI,动视暴雪,143亿
SATS,回声星通,45亿
CREE,克里科技,35亿
ADVS,降临软件,15亿
TRMB,天宝导航,70亿
ATML,爱特梅尔,33亿
SSYS,Stratasy,43亿
ATNI,大西洋电,10亿
AMAT,应用材料,287亿
SNDK,闪迪,217亿
SLH,索勒拉,32亿
WDAY,工时公司,152亿
TIBX,TIBCO软,-
ATNY,API技术,1亿
FSL,飞思卡尔,75亿
AVG,AVG科技,9亿
IGT,游戏科技,41亿
TDC,天睿,63亿
WDC,西部数据,245亿
CPHD,Cepheid,35亿
SYNT,Syntel,36亿
LRCX,林氏研究,124亿
CA,联合电脑,132亿
CTRX,卡塔马兰,101亿
FTNT,飞塔信息,46亿
CDNS,铿腾电子,52亿
DDD,3D系统,33亿
CVLT,康沃系统,21亿
ADI,亚德诺,174亿
FTR,边际通信,62亿
ARUN,安移通,21亿
LLTC,凌力尔特,108亿
UBNT,厄比奎蒂,26亿
FEIC,FEI公司,36亿
XRX,施乐,154亿
ARW,艾睿,54亿
CSC,思捷思,86亿
MDSO,Medidata,23亿
NSR,美国新星,14亿
APH,安费诺,161亿
MU,美光,370亿
DLB,杜比,44亿
BBRY,黑莓,51亿
TWTR,推特,218亿
NMBL,敏捷存储,19亿
NTDOY,任天堂,130亿
GS,高盛,822亿
C,花旗,1635亿
BAC,美国银行,1814亿
JPM,摩根大通,2260亿
MS,摩根士丹,725亿
AIG,美国国际,764亿
MET,大都会人,602亿
MA,万事达,990亿
