Code,Name,总市值
600386,北巴传媒,63亿
600387,海越股份,88亿
600388,龙净环保,200亿
600389,江山股份,68亿
600390,金瑞科技,65亿
600391,成发科技,183亿
600392,盛和资源,132亿
600393,东华实业,34亿
600395,盘江股份,236亿
600396,金山股份,76亿
600397,安源煤业,99亿
600398,海澜之家,739亿
600399,抚顺特钢,176亿
600400,红豆股份,61亿
600401,*ST海润,171亿
600403,大有能源,206亿
600405,动力源,59亿
600406,国电南瑞,600亿
600408,安泰集团,62亿
600409,三友化工,197亿
600410,华胜天成,228亿
600415,小商品城,711亿
600416,湘电股份,137亿
600418,江淮汽车,205亿
600419,天润乳业,25亿
600420,现代制药,112亿
600421,仰帆控股,31亿
600422,昆药集团,119亿
600423,柳化股份,41亿
600425,青松建化,138亿
600426,华鲁恒升,141亿
600428,中远航运,204亿
600429,三元股份,173亿
600432,吉恩镍业,308亿
600433,冠豪高新,233亿
600435,北方导航,261亿
600436,片仔癀,221亿
600438,通威股份,88亿
600439,瑞贝卡,68亿
600444,*ST国通,19亿
600446,金证股份,403亿
600448,华纺股份,38亿
600449,宁夏建材,70亿
600452,涪陵电力,34亿
600455,博通股份,23亿
600456,宝钛股份,105亿
600458,时代新材,142亿
600459,贵研铂业,69亿
600460,士兰微,112亿
600461,洪城水业,43亿
600462,石岘纸业,53亿
600463,空港股份,39亿
600466,蓝光发展,303亿
600467,好当家,64亿
600468,百利电气,102亿
600469,风神股份,83亿
600470,六国化工,51亿
600472,包头铝业,0
600475,华光股份,47亿
600476,湘邮科技,51亿
600477,杭萧钢构,73亿
600478,科力远,150亿
600479,千金药业,71亿
600480,凌云股份,66亿
600481,双良节能,143亿
600482,风帆股份,129亿
600483,福能股份,145亿
600485,信威集团,1347亿
600486,扬农化工,100亿
600487,亨通光电,109亿
600488,天药股份,87亿
600489,中金黄金,436亿
600490,鹏欣资源,230亿
600491,龙元建设,146亿
600493,凤竹纺织,42亿
600495,晋西车轴,175亿
600496,精工钢构,122亿
600497,驰宏锌锗,272亿
600498,烽火通信,289亿
600499,科达洁能,177亿
600500,中化国际,313亿
600501,航天晨光,77亿
600502,安徽水利,86亿
600503,华丽家族,106亿
600505,西昌电力,46亿
600506,香梨股份,29亿
600507,方大特钢,121亿
600508,上海能源,106亿
600509,天富能源,121亿
600510,黑牡丹,126亿
600511,国药股份,189亿
600512,腾达建设,78亿
600513,联环药业,55亿
600515,海岛建设,59亿
600516,方大炭素,224亿
600517,置信电气,192亿
600518,康美药业,813亿
600519,贵州茅台,2921亿
600520,中发科技,36亿
600521,华海药业,170亿
600522,中天科技,156亿
600523,贵航股份,72亿
600525,长园集团,181亿
600526,菲达环保,120亿
600527,江南高纤,59亿
600528,中铁二局,392亿
600529,山东药玻,41亿
600530,交大昂立,76亿
600531,豫光金铅,54亿
600532,宏达矿业,65亿
600533,栖霞建设,70亿
600535,天士力,545亿
600536,中国软件,232亿
600537,亿晶光电,120亿
600538,国发股份,47亿
600539,*ST狮头,24亿
600540,新赛股份,43亿
600543,莫高股份,45亿
600545,新疆城建,143亿
600546,山煤国际,171亿
600547,山东黄金,438亿
600548,深高速,243亿
600549,厦门钨业,341亿
600550,保变电气,203亿
600551,时代出版,129亿
600552,方兴科技,93亿
600553,太行水泥,0
600555,九龙山,140亿
600556,慧球科技,91亿
600557,康缘药业,147亿
600558,大西洋,77亿
600559,老白干酒,87亿
600560,金自天正,42亿
600561,江西长运,43亿
600562,国睿科技,152亿
600563,法拉电子,79亿
