Name,52周最高,52周最低,总市值,每股净资产,市盈率,总股本,每股收益,市净率,30日均量,流通股本,股息率,市销率
sh600540,7.14,5.20,21.61亿,2.26,-/-,3.03亿,0.03,3.15,648.29万,3.03亿,-,1.59
sh600543,9.60,6.44,26.20亿,3.33,-/-,3.21亿,0.06,2.45,787.68万,3.21亿,0.42%,7.27
sh600545,10.11,5.51,61.56亿,3.11,34.78/32.86,6.76亿,0.05,2.93,2460.66万,6.76亿,0.89%,1.17
sh600546,6.56,3.34,87.82亿,4.04,35.99/1967.93,19.82亿,0.03,1.10,4315.42万,19.82亿,1.12%,0.13
sh600548,5.05,2.93,106.64亿,5.19,14.82/5.25,21.81亿,0.78,0.94,690.51万,14.33亿,3.27%,2.87
sh600549,34.90,19.79,210.73亿,6.10,45.86/39.88,6.82亿,0.21,5.06,1303.20万,6.82亿,0.81%,2.08
sh600550,6.68,3.83,76.75亿,0.10,-/-,13.73亿,0.19,58.23,963.44万,13.73亿,-,1.76
sh600551,25.92,11.54,97.22亿,6.88,28.04/26.50,5.06亿,0.41,2.79,1398.71万,5.06亿,1.09%,1.94
sh600552,23.83,11.38,64.48亿,4.66,44.52/42.92,3.59亿,0.20,3.86,477.58万,3.42亿,0.35%,6.80
sh600555,4.25,2.73,48.88亿,1.26,179.38/80.14,13.04亿,0.01,2.97,811.93万,9.74亿,-,278.95
sh600556,10.85,3.20,39.48亿,0.00,120.94/117.06,3.95亿,0.00,2857.14,2049.79万,3.95亿,-,83.49
sh600557,38.50,25.14,137.46亿,3.99,46.28/42.54,4.99亿,0.32,6.91,511.91万,3.69亿,0.44%,5.85
sh600558,10.25,6.14,38.98亿,4.40,97.73/78.87,3.99亿,0.12,2.22,850.88万,2.68亿,0.61%,1.80
sh600559,29.15,19.90,38.44亿,4.58,58.64/74.33,1.40亿,0.10,5.99,214.86万,1.40亿,0.55%,2.30
sh600560,12.50,7.33,26.32亿,3.14,42.09/58.28,2.24亿,0.09,3.75,835.79万,2.24亿,0.73%,3.50
